slug,name,brand,category,price,specs,features,description,ideal_for,efficiency,img,pop,best,visible
hisense-multisplit-2x1-2amw42u4rgc-cf25yr04-cf35mr04,Hisense multisplit 2×1 2AMW42U4RGC + CF25YR04 + CF35MR04,Hisense,aires,1350,Recomendado para estancias: 22+32 | Eficiencia energetica: A++,,"El aire acondicionado Hisense multisplit 2x1 combina eficiencia y confort, ideal para climatizar tu hogar con tecnología avanzada y diseño elegante. Su sistema ultrasilencioso y control WiFi integrado garantizan un ambiente agradable y fácil de manejar. Potencia Total: 4,2 kW Unidades Interiores: 2,5 kW y 3,5 kW Eficiencia Energética: A++/A+",,,productos/hisense-multisplit-2x1-2amw42u4rgc-cf25yr04-cf35mr04.jpg,127,false,false
hisense-multisplit-2x1-2amw42u4rgc-cf25yr04-cf25yr04,Hisense multisplit 2×1 2AMW42U4RGC + CF25YR04 + CF25YR04,Hisense,aires,1300,Recomendado para estancias: 20+30 | Eficiencia energetica: A++,,"Optimiza tu confort con el aire acondicionado Hisense multisplit 2x1 2AMW42U4RGC + CF25YR04 + CF25YR04. Este sistema ofrece una climatización eficiente y silenciosa, ideal para estancias de hasta 22 m², garantizando un ambiente agradable durante todo el año. Potencia de la unidad exterior: 4,2 kW Clase Energética: A++/A+ Control Inteligente: Wifi integrado",,,productos/hisense-multisplit-2x1-2amw42u4rgc-cf25yr04-cf25yr04.jpg,128,false,false
hisense-ca50xs1a-gama-brissa-r-32,Hisense CA50XS1A Gama Brissa R-32,Hisense,aires,1000,Recomendado para estancias: 20+2 | Eficiencia energetica: A++,,"Hisense CA50XS1A Gama Brissa R-32: Aire acondicionado de alta eficiencia energética, ideal para espacios de hasta 45 m². Su diseño elegante y compacto se complementa con un funcionamiento ultra silencioso, garantizando confort y estilo en tu hogar. Potencia en frío: 5 kW (4300 frigorías) Potencia en calor: 4,2 kW Nivel de ruido: 21 dB",,,productos/hisense-ca50xs1a-gama-brissa-r-32.jpg,129,false,false
hisense-cf35mr04-gama-style-r32-wifi,Hisense CF35MR04 Gama Style R32 Wifi,Hisense,aires,600,Recomendado para estancias: 45 | Eficiencia energetica: A++,,"El aire acondicionado Hisense CF35MR04 Gama Style R32 Wifi combina eficiencia energética y diseño compacto, ideal para espacios de hasta 32 m². Su funcionamiento ultra silencioso y control remoto con pantalla LED garantizan comodidad y facilidad de uso. Clase Energética: A++/A+ Potencia Frigorífica: 3,2 kW (2752 frigorías) Potencia Calorífica: 3,3 kW (2838 frigorías) Nivel de Ruido: 21 dB Control Inteligente: Wifi integrado",,,productos/hisense-cf35mr04-gama-style-r32-wifi.jpg,130,false,false
hisense-cf25yr04-gama-style-r32-wifi,Hisense CF25YR04 Gama Style R32 Wifi,Hisense,aires,550,Recomendado para estancias: 32 | Eficiencia energetica: A++,,"Optimiza tu confort con el Aire Acondicionado Hisense CF25YR04 Gama Style R32 Wifi, diseñado para ofrecer eficiencia energética y un rendimiento excepcional en espacios de hasta 22 m². Su diseño elegante y compacto se complementa con un funcionamiento ultra silencioso, ideal para cualquier hogar moderno. Clase Energética: A++/A+ Potencia Frigorífica: 2,6 kW (2236 frigorías) Potencia Calorífica: 2,7 kW (2322 frigorías) Nivel de Ruido: 22 dB Control Remoto: Incluye mando con pantalla LED",,,productos/hisense-cf25yr04-gama-style-r32-wifi.jpg,131,false,false
hisense-multisplit-2x1-2amw52u4rxc-cf25yr04-cf35mr04,Hisense multisplit 2×1 2AMW52U4RXC + CF25YR04 + CF35MR04,Hisense,aires,1350,Recomendado para estancias: 20+20 | Eficiencia energetica: A++,,"Optimiza tu confort con el aire acondicionado Hisense multisplit 2x1 2AMW52U4RXC + CF25YR04 + CF35MR04. Este sistema ofrece una climatización eficiente y silenciosa, ideal para diferentes espacios de tu hogar. Potencia Total: 5,2 kW Unidades Interiores: 2,5 kW (22 m²) y 3,5 kW (32 m²) Conectividad: Control WiFi integrado",,,productos/hisense-multisplit-2x1-2amw52u4rxc-cf25yr04-cf35mr04.jpg,132,false,false
hisense-ca25yr03-gama-brissa-r-32,Hisense CA25YR03 Gama Brissa R-32,Hisense,aires,475,Recomendado para estancias: 30 | Eficiencia energetica: A++,,"El aire acondicionado Hisense CA25YR03 Gama Brissa R-32 combina eficiencia energética y diseño compacto, ideal para espacios de hasta 22 m². Su funcionamiento ultra silencioso y su panel frontal con control de luminosidad lo hacen perfecto para cualquier ambiente. Clase Energética: A++/A+ Potencia Frigorífica: 2,6 kW (2150 frigorías) Nivel de Ruido: 22 dB",,,productos/hisense-ca25yr03-gama-brissa-r-32.jpg,133,false,false
hisense-multisplit-3x1-3amw62u4rjc-cf25yr04g-cf25yr04g-cf35mr04g,Hisense multisplit 3×1 3AMW62U4RJC + CF25YR04G + CF25YR04G + CF35MR04G,Hisense,aires,1800,Recomendado para estancias: 20+20+30 | Eficiencia energetica: A++,,"Optimiza tu confort con el aire acondicionado Hisense multisplit 3x1 serie Style. Este sistema combina eficiencia energética A++/A+ con un funcionamiento ultrasilencioso y control WiFi integrado, ideal para mantener la temperatura perfecta en tu hogar. Potencia total: 6,2 kW Unidades interiores: 2 de 2,5 kW y 1 de 3,5 kW Área recomendada: Hasta 32 m²",,,productos/hisense-multisplit-3x1-3amw62u4rjc-cf25yr04g-cf25yr04g-cf35mr04g.jpg,134,false,false
hisense-ca35yr03-gama-brissa-r-32,Hisense CA35YR03 Gama Brissa R-32,Hisense,aires,500,Recomendado para estancias: 45 | Eficiencia energetica: A++,,"El aire acondicionado Hisense CA35YR03 Gama Brissa R-32 combina eficiencia energética y diseño compacto, ideal para espacios de hasta 32 m². Su funcionamiento ultra silencioso y su panel frontal con control de luminosidad garantizan confort y elegancia en cualquier ambiente. Clase Energética: A++/A+ Potencia Frigorífica: 3,4 kW en frío, 2,7 kW en calor Nivel de Ruido: 21 dB",,,productos/hisense-ca35yr03-gama-brissa-r-32.jpg,135,false,false
hisense-cf50xs04-gama-style-r32-wifi,Hisense CF50XS04 Gama Style R32 Wifi,Hisense,aires,1000,Recomendado para estancias: 20+20 | Eficiencia energetica: A++,,El aire acondicionado Hisense CF50XS04 Gama Style R32 Wifi es la solución perfecta para climatizar espacios de hasta 45 m² con eficiencia y estilo. Su diseño minimalista y tecnología avanzada garantizan un ambiente confortable y silencioso. Potencia Frigorífica: 5000 W Potencia en Calor: 5600 W Presión Sonora: 21 dB Clasificación Energética: A++/A+ Control Remoto: LCD táctil,,,productos/hisense-cf50xs04-gama-style-r32-wifi.jpg,136,false,false
hisense-multisplit-2x1-2amw52u4rxc-cf35mr04g-cf35mr04g,Hisense multisplit 2×1 2AMW52U4RXC + CF35MR04G + CF35MR04G,Hisense,aires,1400,Recomendado para estancias: 20+20+30 | Eficiencia energetica: A++,,"Optimiza tu confort con el aire acondicionado Hisense multisplit 2x1 2AMW52U4RXC + CF35MR04G + CF35MR04G. Este sistema ofrece una climatización eficiente y silenciosa, ideal para espacios de hasta 32 m², con control WiFi integrado para una gestión sencilla desde cualquier lugar. Potencia Total: 5,2 kW Unidades Interiores: 3,5 kW cada una (3000 frigorías) Eficiencia Energética: A++/A+",,,productos/hisense-multisplit-2x1-2amw52u4rxc-cf35mr04g-cf35mr04g.jpg,137,false,false
hisense-aire-acondicionado-conductos-aud105ux4radh5,Hisense Aire Acondicionado Conductos AUD105UX4RADH5,Hisense,aires,2000,Recomendado para estancias: 90 | Eficiencia energetica: A++,,"Hisense Aire Acondicionado Conductos AUD105UX4RADH5: Ideal para climatizar espacios de hasta 120 m², este sistema ofrece eficiencia energética A++/A+ y un funcionamiento silencioso de 34 dB. Con una potencia de 10,5 kW, garantiza confort en cualquier estación del año. Frigorías: 9030 en frío, 9890 en calor Gas Refrigerante: R32 Garantía del Compresor: 5 años",,,productos/hisense-aire-acondicionado-conductos-aud105ux4radh5.jpg,138,false,false
caldera-de-gas-protherm-puma-condens-18-24,CALDERA DE GAS PROTHERM PUMA CONDENS 18/24,Protherm puma,calderas,1150,Consumo de agua caliente: 1 ducha + 1 grifo | Dimension a climatizar: 150,,"La caldera de gas Protherm Puma Condens 18/24 es ideal para espacios reducidos, combinando eficiencia y rendimiento en un diseño compacto de solo 62,6 cm de altura. Potencia eficiente: 18 kW para calefacción, 24 kW para agua caliente Calificación energética: A en calefacción, A/XL en ACS Diseño compacto: Perfecta para espacios pequeños",,,productos/caldera-de-gas-protherm-puma-condens-18-24.jpg,139,false,false
caldera-de-gas-protherm-puma-condens-24-28,CALDERA DE GAS PROTHERM PUMA CONDENS 24/28,Protherm puma,calderas,1275,Consumo de agua caliente: 1 ducha + 1 grifo | Dimension a climatizar: 150,,"La caldera de gas Protherm Puma Condens 24/28 es ideal para espacios reducidos, combinando eficiencia y potencia en un diseño compacto de solo 62,6 cm de altura. Potencia eficiente: 23,9 kW para calefacción, 28 kW para agua caliente Calificación energética: A en calefacción, A/XL en ACS Diseño compacto: Perfecta para espacios limitados",,,productos/caldera-de-gas-protherm-puma-condens-24-28.jpg,140,false,false
baxi-neodens-plus-33-33-f-eco,Baxi Neodens Plus 33/33 F ECO,Baxi,calderas,1540,Consumo de agua caliente: 1 ducha + 1 grifo | Dimension a climatizar: 240,,"La caldera Baxi Neodens Plus 33/33 F ECO garantiza un hogar cálido y eficiente, proporcionando un rendimiento excepcional en calefacción y agua caliente sanitaria. Potencia óptima: 30,6 kW para calefacción, 33 kW para ACS Caudal destacado: 18,9 litros por minuto a 25 &ordm;C Calificación energética A: Máxima eficiencia y ahorro",,,productos/baxi-neodens-plus-33-33-f-eco.jpg,141,false,false
baxi-platinum-compact-26-26-f-eco,Baxi Platinum Compact 26/26 F ECO,Baxi,calderas,1455,Consumo de agua caliente: 1 ducha + 1 grifo | Dimension a climatizar: 150,,"La caldera Baxi Platinum Compact 26/26 F ECO garantiza un hogar cómodo y energéticamente eficiente, proporcionando calefacción y agua caliente de manera confiable. Potencia eficiente: 21,8 kW para calefacción, 24 kW para ACS Caudal máximo: 13,8 litros por minuto a 25 &ordm;C Calificación energética: Clase A para un consumo responsable",,,productos/baxi-platinum-compact-26-26-f-eco.jpg,142,false,false
baxi-platinum-compact-30-30-f-eco,Baxi Platinum Compact 30/30 F ECO,Baxi,calderas,1930,Consumo de agua caliente: 1 ducha + 1 grifo | Dimension a climatizar: 190,,"La caldera Baxi Platinum Compact 30/30 F ECO garantiza un hogar cómodo y energéticamente eficiente, proporcionando calefacción y agua caliente de manera confiable. Potencia eficiente: 30 kW para calefacción, 30 kW para ACS Caudal máximo: 16,1 litros por minuto a 25 &ordm;C Calificación energética: Clase A para un consumo responsable",,,productos/baxi-platinum-compact-30-30-f-eco.jpg,143,false,false
